Wops(A),Pops(A),Wera(D),Pera(D),winsW
.758,.754,3.64,3.30,1
.755,.753,3.65,3.28,0
.761,.752,3.83,3.20,1
.761,.753,3.86,3.21,0
.755,.794,3.69,4.27,0
.756,.795,3.73,4.29,0
.756,.796,3.76,4.27,0
