Wops(A),Pops(A),Wera(D),Pera(D),winsW
.772,.723,3.29,4.03,0
.769,.724,3.29,4.00,0
.770,.724,3.30,3.98,0
.766,.719,3.25,3.94,1
.752,.704,3.72,4.86,1
.751,.702,3.68,4.80,1
.760,.733,3.46,4.97,1
.760,.731,3.44,4.96,1
.798,.632,2.78,5.05,0
.800,.640,2.78,5.08,1
.805,.636,2.76,5.14,1
